PLAYERPLAYER,ABAB,BBBB,SOSO,SBSB,CSCS,AVGAVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
936TrevorT PlouffePlouffe3B936???,2933,246,676,12,11,0.242,0.077382825,0.212645486,0.00723498,0.52173913,Sheet1
952JulioJ Rodr?guezRodr?guezCF952???,2276,159,607,109,28,0.273,0.065297741,0.249281314,0.056262834,0.795620438,Sheet1
952MikeM DevereauxDevereauxCF952???,3740,296,635,86,56,0.254,0.073339941,0.157333994,0.03518335,0.605633803,Sheet1
952DarylD SpencerSpencerSS952???,3689,449,516,13,7,0.244,0.108506525,0.124697922,0.004833253,0.65,Sheet1
952BobB CervCervLF952???,2261,212,392,12,10,0.276,0.085725839,0.158511929,0.008896078,0.545454545,Sheet1
952MarkM EllisEllis2B952???,5117,438,801,82,29,0.262,0.078847885,0.144194419,0.019981998,0.738738739,Sheet1
952MitchM GarverGarverC952???,2005,262,624,5,2,0.233,0.11557124,0.275253639,0.003087781,0.714285714,Sheet1
952GeorgeG GranthamGrantham2B952???,4989,717,526,132,53,0.302,0.125657203,0.092183666,0.032422012,0.713513514,Sheet1
952DixieD WalkerWalkerRF952???,6740,817,325,59,10,0.306,0.108111685,0.043006484,0.009130607,0.855072464,Sheet1
952FrankieF FrischFrisch2B952???,9112,728,272,419,74,0.316,0.07398374,0.027642276,0.050101626,0.84989858,Sheet1
952MichaelM MorseMorseLF952???,2569,178,668,6,6,0.274,0.064797961,0.243174372,0.004368402,0.5,Sheet1
952AlexA AvilaAvilaC952???,3060,528,1068,8,8,0.233,0.147157191,0.297658863,0.004459309,0.5,Sheet1
952JackJ CustCustDH952???,2107,444,819,6,6,0.242,0.174049392,0.321050568,0.004704038,0.5,Sheet1
952MarkM WhitenWhitenRF952???,3104,378,712,78,40,0.259,0.1085583,0.204480184,0.03388857,0.661016949,Sheet1
952BobB BooneBooneC952???,7245,663,608,38,50,0.254,0.08383915,0.076884168,0.011127972,0.431818182,Sheet1
952DaveD NilssonNilssonC952???,2779,320,424,15,18,0.284,0.103259116,0.136818328,0.010648596,0.454545455,Sheet1
952BrentB RookerRookerRF952???,1772,180,565,20,4,0.261,0.092213115,0.289446721,0.012295082,0.833333333,Sheet1
968JacobyJ EllsburyEllsburyCF968???,4846,399,737,343,71,0.284,0.07607245,0.140514776,0.078932316,0.828502415,Sheet1
968XavierX NadyNadyRF968???,2969,189,626,19,8,0.268,0.059848005,0.198226726,0.008549715,0.703703704,Sheet1
968IvanI CalderonCalderonRF968???,3312,306,556,97,49,0.272,0.084577114,0.153676064,0.040353787,0.664383562,Sheet1
968JohnJ RoseboroRoseboroC968???,4847,547,677,67,56,0.249,0.101408973,0.125509826,0.022803115,0.544715447,Sheet1
968FranklinF StubbsStubbs1B968???,2591,260,626,74,28,0.232,0.091196072,0.21957208,0.03577692,0.725490196,Sheet1
968DavidD MurphyMurphyLF968???,3467,316,575,54,28,0.274,0.083531589,0.151995771,0.021675919,0.658536585,Sheet1
968KalK DanielsDanielsLF968???,2338,365,493,87,26,0.285,0.135035146,0.182389937,0.041805401,0.769911504,Sheet1
968EarlE BatteyBatteyC968???,3586,421,470,13,12,0.27,0.105066134,0.117294734,0.006239082,0.52,Sheet1
1001EricE SoderholmSoderholm3B1001???,2894,295,359,18,21,0.264,0.092505488,0.112574475,0.012229539,0.461538462,Sheet1
1001GeorgeG SislerSisler1B1001???,8267,472,327,375,127,0.34,0.054010756,0.037418469,0.057443643,0.747011952,Sheet1
1003JonathanJ VillarVillar2B1003???,3530,344,1045,239,66,0.255,0.088797109,0.269747031,0.078729995,0.783606557,Sheet1
1003GeronimoG BerroaBerroaDH1003???,2506,276,510,19,16,0.276,0.099209202,0.183321352,0.012580877,0.542857143,Sheet1
1003NateN McLouthMcLouthCF1003???,3257,366,639,133,24,0.247,0.101021253,0.176373171,0.043334253,0.847133758,Sheet1
1003WaltW MorynMorynRF1003???,2506,251,393,7,7,0.266,0.091040987,0.142546246,0.005077983,0.5,Sheet1
1003GeorgeG AltmanAltmanRF1003???,3091,268,572,52,22,0.269,0.07978565,0.170288776,0.022030366,0.702702703,Sheet1
1003DenisD MenkeMenkeSS1003???,5071,698,853,34,54,0.25,0.120991506,0.147859248,0.015253943,0.386363636,Sheet1
1003DavidD DellucciDellucciRF1003???,2873,322,714,41,25,0.256,0.100782473,0.223474178,0.020657277,0.621212121,Sheet1
1003ChadC CurtisCurtisCF1003???,4017,510,676,212,98,0.264,0.112657389,0.149326265,0.068478021,0.683870968,Sheet1
1003BobbyB Witt Jr.WittSS1003???,2385,171,470,144,41,0.29,0.066901408,0.183881064,0.072378717,0.778378378,Sheet1
1003DaveD ConcepcionConcepcionSS1003???,8723,736,1186,321,109,0.267,0.077809494,0.125383233,0.045459351,0.746511628,Sheet1
1003HonusH WagnerWagnerSS1003???,10430,963,327,722,15,0.329,0.084525586,0.028701834,0.064688844,0.979647218,Sheet1
1016AugieA GalanGalanLF1016???,5937,979,393,123,0,0.287,0.141555813,0.056824754,0.017784847,1,Sheet1
1016JohnJ KrukKruk1B1016???,3897,649,701,58,31,0.3,0.142762868,0.154201496,0.019577651,0.651685393,Sheet1
1016YonderY AlonsoAlonso1B1016???,3362,366,648,22,8,0.259,0.098175966,0.173819742,0.00804721,0.733333333,Sheet1
1016MarkM DeRosaDeRosa3B1016???,3633,358,707,23,18,0.268,0.089701829,0.177148584,0.010273115,0.56097561,Sheet1
1016JoshJ NaylorNaylor1B1016???,2498,216,446,47,9,0.267,0.079587325,0.164333088,0.020633751,0.839285714,Sheet1
1016RandyR VelardeVelarde2B1016???,4244,463,853,78,37,0.276,0.098364139,0.18121946,0.024431697,0.67826087,Sheet1
1016DukeD SimsSimsC1016???,2422,338,483,6,16,0.239,0.122463768,0.175,0.007971014,0.272727273,Sheet1
1016MikeM JacobsJacobs1B1016???,1949,170,492,5,2,0.253,0.080226522,0.232184993,0.003303445,0.714285714,Sheet1
1016Mart?nM PradoPrado3B1016???,5373,385,676,40,28,0.287,0.066863494,0.117401876,0.011809656,0.588235294,Sheet1
1016BruceB BochteBochte1B1016???,5233,653,662,43,41,0.282,0.110941216,0.112470268,0.014271152,0.511904762,Sheet1
1123SteveS PearcePearce1B1123???,2256,240,509,13,7,0.254,0.096153846,0.203926282,0.008012821,0.65,Sheet1
1123PhilP PlantierPlantierLF1123???,1883,237,476,13,15,0.243,0.111792453,0.224528302,0.013207547,0.464285714,Sheet1
1123CitoC GastonGastonCF1123???,3120,185,693,14,7,0.256,0.055975794,0.2096823,0.006354009,0.666666667,Sheet1
1123GeorgeG HarperHarperRF1123???,3398,389,208,58,34,0.303,0.102719831,0.054924743,0.024293636,0.630434783,Sheet1
1123GradyG HattonHatton3B1123???,4206,646,430,42,9,0.254,0.133140973,0.088623248,0.010511129,0.823529412,Sheet1
1123MikeM DavisDavisRF1123???,2999,236,537,134,56,0.259,0.072952087,0.165996909,0.058732612,0.705263158,Sheet1
1123BobB BrenlyBrenlyC1123???,2615,318,438,45,38,0.247,0.108421412,0.149335152,0.02829867,0.542168675,Sheet1
1123DaveD MartinezMartinezRF1123???,5795,567,893,183,94,0.276,0.089122917,0.140364665,0.043539767,0.660649819,Sheet1
1123KenK LandreauxLandreauxCF1123???,4101,299,421,145,60,0.268,0.067954545,0.095681818,0.046590909,0.707317073,Sheet1
1123MikeM BordickBordickSS1123???,5770,500,800,96,58,0.26,0.079744817,0.127591707,0.024561404,0.623376623,Sheet1
1123LeeL LacyLacyRF1123???,4549,372,657,185,86,0.286,0.075594391,0.133509449,0.055070108,0.682656827,Sheet1
1123IsaacI ParedesParedes3B1123???,1888,245,378,2,3,0.237,0.114861697,0.17721519,0.002344116,0.4,Sheet1
1138FelipeF LopezLopezSS1138???,4337,445,913,124,58,0.264,0.093057298,0.190924299,0.038059389,0.681318681,Sheet1
1138JimJ LeyritzLeyritzC1138???,2527,337,581,7,7,0.264,0.117667598,0.202863128,0.004888268,0.5,Sheet1
1138CarlosC MayMayLF1138???,4120,512,565,85,53,0.274,0.110535406,0.121977547,0.029792746,0.615942029,Sheet1
1138ChrisC JamesJamesLF1138???,3040,193,490,27,17,0.261,0.059696876,0.151562017,0.01360965,0.613636364,Sheet1
1138GerardoG ParraParraLF1138???,4858,318,920,97,55,0.275,0.061437403,0.177743431,0.029366306,0.638157895,Sheet1
1138WallyW PippPipp1B1138???,6914,596,551,125,60,0.281,0.079360852,0.073368842,0.024633822,0.675675676,Sheet1
1138MarkM GrudzielanekGrudzielanek2B1138???,7052,364,954,133,52,0.289,0.049083064,0.128640777,0.024946063,0.718918919,Sheet1
1138JimJ PagliaroniPagliaroniC1138???,2465,330,494,4,7,0.252,0.118067979,0.176744186,0.003935599,0.363636364,Sheet1
1138MikeM LumLumLF1138???,3554,366,506,13,29,0.247,0.093367347,0.129081633,0.010714286,0.30952381,Sheet1
1138SidS BreamBream1B1138???,3108,353,450,50,40,0.264,0.101993643,0.130020225,0.026004045,0.555555556,Sheet1
1138AlanA AshbyAshbyC1138???,4123,461,622,7,10,0.245,0.10056719,0.135689354,0.003708551,0.411764706,Sheet1
1138KhalilK GreeneGreeneSS1138???,2567,190,556,25,6,0.245,0.068915488,0.20166848,0.011244106,0.806451613,Sheet1
1138GaryG RedusRedusLF1138???,3513,481,688,322,83,0.252,0.120430646,0.172258388,0.101402103,0.795061728,Sheet1
1251IkeI DavisDavis1B1251???,2076,294,538,7,8,0.239,0.124050633,0.227004219,0.006329114,0.466666667,Sheet1
1251SeanS BerryBerry3B1251???,2413,206,438,47,24,0.272,0.078655976,0.167239404,0.027109584,0.661971831,Sheet1
1251MikeM IvieIvie1B1251???,2694,214,402,22,16,0.269,0.073590096,0.13823934,0.0130674,0.578947368,Sheet1
1251LennyL DykstraDykstraCF1251???,4559,640,503,285,72,0.285,0.123100596,0.096749375,0.068667051,0.798319328,Sheet1
