PLAYERPLAYER,G,AB,R ,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,,,,
182BrianB GilesGilesRF182???,1847,6527,1121,1897,411,55,287,1078,1183,835,109,45,0.291,0.4,0.502,0.902,0.153437095,0.108300908,0.0199740597,0.707792208
182BobbyB BonillaBonilla3B182???,2113,7213,1084,2010,408,61,287,1173,912,1204,45,57,0.279,0.358,0.472,0.83,0.112246154,0.148184615,0.0125538462,0.441176471
182GarretG AndersonAndersonLF182???,2228,8640,1084,2529,522,36,287,1365,429,1224,80,47,0.293,0.324,0.461,0.785,0.0473040026,0.134965266,0.014003749,0.62992126
187CarlosC PenaPena1B187???,1493,4949,745,1146,231,26,286,818,817,1577,29,22,0.232,0.346,0.462,0.808,0.141692681,0.273499827,0.00884495317,0.568627451
187FrankF ThomasThomasLF187???,1766,6285,792,1671,262,31,286,962,484,894,15,22,0.266,0.32,0.454,0.774,0.0715024376,0.132072684,0.00546609544,0.405405405
189MookieM BettsBettsSS189???,1503,5972,1151,1734,388,40,285,889,726,911,196,41,0.29,0.369,0.512,0.881,0.108390564,0.136010749,0.0353836966,0.827004219
189GeorgeG SpringerSpringerRF189???,1416,5443,955,1442,241,23,285,779,660,1286,116,40,0.265,0.351,0.475,0.826,0.108143536,0.210716041,0.0255611994,0.743589744
191WillW ClarkClark1B191???,1976,7173,1186,2176,440,47,284,1205,937,1190,67,48,0.303,0.384,0.497,0.881,0.115536375,0.146732429,0.0141800247,0.582608696
191RyanR ZimmermanZimmerman3B191???,1799,6654,963,1846,417,22,284,1061,646,1384,43,16,0.277,0.341,0.475,0.816,0.0884931507,0.189589041,0.00808219178,0.728813559
191EricE KarrosKarros1B191???,1755,6441,797,1724,324,11,284,1027,552,1167,59,30,0.268,0.325,0.454,0.779,0.0789360789,0.166881167,0.0127270127,0.662921348
194EricE DavisDavisCF194???,1626,5321,938,1430,239,26,282,934,740,1398,349,66,0.269,0.359,0.482,0.841,0.122092064,0.230655007,0.0684705494,0.840963855
194BrianB McCannMcCannC194???,1755,6067,742,1590,294,5,282,1018,640,1054,25,9,0.262,0.337,0.452,0.789,0.0954226927,0.157149247,0.00506933055,0.735294118
194AdamA JonesJonesCF194???,1823,7009,963,1939,336,29,282,945,340,1395,97,35,0.277,0.317,0.454,0.771,0.0462647979,0.189821744,0.0179616274,0.734848485
194KenK BoyerBoyer3B194???,2034,7455,1104,2143,318,68,282,1141,713,1017,105,77,0.287,0.349,0.462,0.811,0.0872918707,0.124510284,0.0222820764,0.576923077
194RyneR SandbergSandberg2B194???,2164,8385,1318,2386,403,76,282,1061,761,1260,344,107,0.285,0.344,0.452,0.796,0.083205773,0.137765143,0.0493111743,0.762749446
199Jos?J Ram?rezRam?rez3B199???,1579,5859,979,1637,388,42,281,932,652,788,279,62,0.279,0.353,0.504,0.857,0.100138228,0.121025956,0.0523729074,0.818181818
199PaulP O'NeillO'NeillRF199???,2053,7318,1041,2105,451,21,281,1269,892,1166,141,73,0.288,0.363,0.47,0.833,0.10864799,0.142021924,0.0260657734,0.658878505
