PLAYERPLAYER,AB,BB,SO,SB,CS,AVG,BBBB/(ABAB+BBBB),SOSO/(ABAB+BBBB),(SBSB+CSCS)/(ABAB+BBBB),SBSB/(SBSB+CSCS),__sheet__
129WillieW HortonHortonLF129???,7298,620,1313,20,38,0.273,0.078302602,0.165824703,0.007325082,0.344827586,csv
129JustinJ UptonUptonLF129???,6721,785,1971,151,59,0.261,0.104583,0.262589928,0.027977618,0.719047619,csv
132GaryG CarterCarterC132???,7971,848,997,39,42,0.262,0.096156027,0.113051366,0.009184715,0.481481481,csv
132LanceL ParrishParrishC132???,7067,612,1527,28,37,0.252,0.079697877,0.198854017,0.008464644,0.430769231,csv
134RonR GantGantLF134???,6449,770,1411,243,102,0.256,0.106662973,0.195456434,0.047790553,0.704347826,csv
135VinnyV CastillaCastilla3B135???,6822,423,1069,33,43,0.276,0.058385093,0.147550035,0.010489993,0.434210526,csv
135TroyT GlausGlaus3B135???,5410,854,1377,56,29,0.254,0.13633461,0.219827586,0.013569604,0.658823529,csv
137PrinceP FielderFielder1B137???,5821,847,1155,18,11,0.283,0.127024595,0.173215357,0.00434913,0.620689655,csv
137CecilC FielderFielder1B137???,5157,693,1316,2,6,0.255,0.118461538,0.224957265,0.001367521,0.25,csv
137JayJ BruceBruceRF137???,5964,600,1572,65,40,0.244,0.091407678,0.239488117,0.015996344,0.619047619,csv
140RoyR SieversSievers1B140???,6387,841,920,14,19,0.267,0.116353071,0.127282789,0.004565578,0.424242424,csv
141GeorgeG BrettBrett3B141???,10349,1096,908,201,97,0.305,0.095762342,0.079335955,0.026037571,0.674496644,csv
141Adri?nA Gonz?lezGonz?lez1B141???,7139,782,1401,6,7,0.287,0.098724908,0.176871607,0.001641207,0.461538462,csv
141EugenioE Su?rezSu?rez3B141???,5705,623,1766,35,20,0.247,0.098451327,0.279077118,0.00869153,0.636363636,csv
144RonR CeyCey3B144???,7162,1012,1235,24,29,0.261,0.123807194,0.151088818,0.006483974,0.452830189,csv
144ScottS RolenRolen3B144???,7398,899,1410,118,49,0.281,0.108352417,0.169940943,0.020127757,0.706586826,csv
144MattM HollidayHollidayLF144???,7009,802,1362,108,37,0.299,0.102675714,0.174369479,0.018563564,0.744827586,csv
147JeromyJ BurnitzBurnitzRF147???,5710,739,1376,74,58,0.253,0.11459141,0.213366413,0.02046829,0.560606061,csv
148ReggieR SmithSmithRF148???,7033,890,1030,137,86,0.287,0.112331188,0.130001262,0.028145904,0.614349776,csv
149IvanI RodriguezRodriguezC149???,9592,513,1474,127,64,0.296,0.050766947,0.145868382,0.018901534,0.664921466,csv
150JayJ BuhnerBuhnerRF150???,5013,792,1406,6,24,0.254,0.136434109,0.242204996,0.005167959,0.2,csv
151EdgarE MartinezMartinezDH151???,7213,1283,1202,49,30,0.312,0.151012241,0.141478343,0.009298493,0.620253165,csv
152AlA SimmonsSimmonsLF152???,8759,615,737,88,64,0.334,0.065606998,0.07862172,0.016215063,0.578947368,csv
152MiguelM TejadaTejadaSS152???,8434,553,1079,85,38,0.285,0.061533326,0.120062312,0.013686436,0.691056911,csv
152GregG LuzinskiLuzinskiLF152???,6505,845,1495,37,31,0.276,0.114965986,0.203401361,0.009251701,0.544117647,csv
155RichieR SexsonSexson1B155???,4928,588,1313,14,13,0.261,0.106598985,0.238034808,0.004894851,0.518518519,csv
155RubenR SierraSierraRF155???,8044,610,1239,142,52,0.268,0.070487636,0.143170788,0.022417379,0.731958763,csv
155FredF LynnLynnCF155???,6925,857,1116,72,54,0.283,0.110125932,0.143407864,0.01619121,0.571428571,csv
158RaulR IbanezIbanezLF158???,7471,713,1374,50,29,0.272,0.087121212,0.167888563,0.009652981,0.632911392,csv
158ReggieR SandersSandersRF158???,6241,674,1614,304,115,0.267,0.09746927,0.23340564,0.060592914,0.725536993,csv
158DavidD JusticeJusticeRF158???,5625,903,999,53,46,0.279,0.138327206,0.153033088,0.015165441,0.535353535,csv
161SteveS FinleyFinleyCF161???,9397,844,1299,320,118,0.271,0.082413827,0.126843082,0.042769261,0.730593607,csv
162AnthonyA RizzoRizzo1B162???,6288,781,1208,72,44,0.261,0.110482388,0.170886971,0.016409676,0.620689655,csv
163RogersR HornsbyHornsby2B163???,8173,1038,679,135,64,0.358,0.112691347,0.073716209,0.021604603,0.67839196,csv
164ChuckC KleinKleinRF164???,6486,601,521,79,,0.32,0.084803161,0.073514886,,,csv
165TimT SalmonSalmonRF165???,5934,970,1360,48,42,0.282,0.140498262,0.196987254,0.013035921,0.533333333,csv
166MarkM ReynoldsReynolds3B166???,5432,707,1927,64,31,0.236,0.115165336,0.313894771,0.015474833,0.673684211,csv
167RickeyR HendersonHendersonLF167???,10961,2190,1694,1406,335,0.279,0.16652726,0.128811497,0.13238537,0.80758185,csv
168ChrisC DavisDavis1B168???,4978,555,1852,19,11,0.233,0.100307247,0.334718959,0.005422013,0.633333333,csv
168MarcellM OzunaOzunaDH168???,5969,595,1463,29,14,0.269,0.090645948,0.222882389,0.006550884,0.674418605,csv
168SalvadorS PerezPerezC168???,6368,266,1283,6,1,0.265,0.040096473,0.193397648,0.00105517,0.857142857,csv
171RobinR VenturaVentura3B171???,7064,1075,1179,24,38,0.267,0.132080108,0.144858091,0.007617643,0.387096774,csv
171MagglioM OrdonezOrdonezRF171???,6978,651,852,94,50,0.309,0.085332285,0.111679119,0.018875344,0.652777778,csv
173KentK HrbekHrbek1B173???,6192,838,798,37,26,0.282,0.119203414,0.113513514,0.008961593,0.587301587,csv
174PatP BurrellBurrellLF174???,5503,932,1564,7,3,0.253,0.144832945,0.243045843,0.001554002,0.7,csv
174RustyR StaubStaubOF174???,9720,1255,888,47,33,0.279,0.114350797,0.080911162,0.007289294,0.5875,csv
176CraigC BiggioBiggio2B176???,10876,1160,1753,414,124,0.281,0.096377534,0.145646394,0.044699236,0.769516729,csv
176JimmyJ WynnWynnCF176???,6653,1224,1428,225,101,0.25,0.155389108,0.181287292,0.041386315,0.690184049,csv
178DelD EnnisEnnisLF178???,7254,597,719,45,19,0.284,0.076041269,0.09158069,0.008151828,0.703125,csv
178HankH SauerSauerLF178???,4796,561,714,11,4,0.266,0.104722793,0.133283554,0.002800075,0.733333333,csv
178BobbyB AbreuAbreuRF178???,8480,1476,1840,400,128,0.291,0.14825231,0.184813178,0.053033347,0.757575758,csv
178BobB JohnsonJohnsonLF178???,6920,1075,851,96,64,0.296,0.134459037,0.106441526,0.020012508,0.6,csv
182BernieB WilliamsWilliamsCF182???,7869,1069,1212,147,87,0.297,0.119601701,0.135600806,0.026180354,0.628205128,csv
182MattM KempKempCF182???,6365,518,1641,184,63,0.284,0.075257882,0.238413482,0.035885515,0.744939271,csv
182BrianB GilesGilesRF182???,6527,1183,835,109,45,0.291,0.153437095,0.108300908,0.01997406,0.707792208,csv
182BobbyB BonillaBonilla3B182???,7213,912,1204,45,57,0.279,0.112246154,0.148184615,0.012553846,0.441176471,csv
182GarretG AndersonAndersonLF182???,8640,429,1224,80,47,0.293,0.047304003,0.134965266,0.014003749,0.62992126,csv
187CarlosC PenaPena1B187???,4949,817,1577,29,22,0.232,0.141692681,0.273499827,0.008844953,0.568627451,csv
187FrankF ThomasThomasLF187???,6285,484,894,15,22,0.266,0.071502438,0.132072684,0.005466095,0.405405405,csv
189MookieM BettsBettsSS189???,5972,726,911,196,41,0.29,0.108390564,0.136010749,0.035383697,0.827004219,csv
189GeorgeG SpringerSpringerRF189???,5443,660,1286,116,40,0.265,0.108143536,0.210716041,0.025561199,0.743589744,csv
191WillW ClarkClark1B191???,7173,937,1190,67,48,0.303,0.115536375,0.146732429,0.014180025,0.582608696,csv
191RyanR ZimmermanZimmerman3B191???,6654,646,1384,43,16,0.277,0.088493151,0.189589041,0.008082192,0.728813559,csv
191EricE KarrosKarros1B191???,6441,552,1167,59,30,0.268,0.078936079,0.166881167,0.012727013,0.662921348,csv
194EricE DavisDavisCF194???,5321,740,1398,349,66,0.269,0.122092064,0.230655007,0.068470549,0.840963855,csv
194BrianB McCannMcCannC194???,6067,640,1054,25,9,0.262,0.095422693,0.157149247,0.005069331,0.735294118,csv
194AdamA JonesJonesCF194???,7009,340,1395,97,35,0.277,0.046264798,0.189821744,0.017961627,0.734848485,csv
194KenK BoyerBoyer3B194???,7455,713,1017,105,77,0.287,0.087291871,0.124510284,0.022282076,0.576923077,csv
194RyneR SandbergSandberg2B194???,8385,761,1260,344,107,0.285,0.083205773,0.137765143,0.049311174,0.762749446,csv
199Jos?J Ram?rezRam?rez3B199???,5859,652,788,279,62,0.279,0.100138228,0.121025956,0.052372907,0.818181818,csv
199PaulP O'NeillO'NeillRF199???,7318,892,1166,141,73,0.288,0.10864799,0.142021924,0.026065773,0.658878505,csv
201TedT KluszewskiKluszewski1B201???,5929,492,365,20,10,0.298,0.076623579,0.056844728,0.004672169,0.666666667,csv
201JoshJ DonaldsonDonaldson3B201???,5022,725,1221,40,10,0.261,0.126152775,0.212458674,0.008700191,0.8,csv
203RyanR KleskoKlesko1B203???,5611,817,1077,91,41,0.279,0.127100187,0.167548227,0.020535159,0.689393939,csv
203MattM OlsonOlson1B203???,4380,599,1207,9,2,0.255,0.120305282,0.242418156,0.002209279,0.818181818,csv
203MikeM CameronCameronCF203???,6839,867,1901,297,83,0.249,0.112509733,0.24669089,0.049312224,0.781578947,csv
206RudyR YorkYork1B206???,5891,792,867,38,26,0.275,0.118509651,0.129732156,0.009576537,0.59375,csv
207BrianB DowningDowningDH207???,7853,1197,1127,50,44,0.267,0.132265193,0.124530387,0.01038674,0.531914894,csv
207JorgeJ PosadaPosadaC207???,6092,936,1453,20,21,0.273,0.133181559,0.206744451,0.005833808,0.487804878,csv
207DeanD PalmerPalmer3B207???,4902,502,1332,48,31,0.251,0.092894152,0.246484086,0.014618801,0.607594937,csv
207RogerR MarisMarisRF207???,5101,652,733,21,9,0.26,0.113332175,0.127411785,0.005214671,0.7,csv
211DanteD BichetteBichetteRF211???,6381,355,1078,152,73,0.299,0.0527019,0.160035629,0.033402613,0.675555556,csv
212FranciscoF LindorLindorSS212???,5973,568,1103,209,49,0.273,0.086836875,0.16862865,0.03944351,0.810077519,csv
212LarryL DobyDobyCF212???,5883,945,1011,64,36,0.288,0.138400703,0.148066784,0.014645577,0.64,csv
214SteveS GarveyGarvey1B214???,8835,479,1003,83,62,0.294,0.051427958,0.107687352,0.015567962,0.572413793,csv
215HanleyH RamirezRamirezSS215???,6349,660,1234,281,93,0.289,0.094164645,0.176059352,0.053359966,0.751336898,csv
215TomT BrunanskyBrunanskyRF215???,6289,770,1187,69,70,0.245,0.109080606,0.168154129,0.019691174,0.496402878,csv
215RaulR MondesiMondesiRF215???,5814,475,1130,229,92,0.273,0.075528701,0.179678804,0.051041501,0.713395639,csv
215GeorgeG ScottScott1B215???,7433,699,1419,69,57,0.268,0.085956714,0.174495819,0.015494343,0.547619048,csv
219VernonV WellsWellsCF219???,6642,472,956,109,37,0.27,0.066348046,0.134382907,0.020522913,0.746575342,csv
219ShoheiS OhtaniOhtaniTWP219???,3622,521,1073,162,43,0.281,0.125754284,0.258991069,0.049481052,0.790243902,csv
221JoeJ MorganMorgan2B221???,9277,1865,1015,689,162,0.271,0.167384671,0.091096751,0.07637767,0.809635723,csv
221BrooksB RobinsonRobinson3B221???,10654,860,990,28,22,0.267,0.07469168,0.085982282,0.00434254,0.56,csv
221GormanG ThomasThomasCF221???,4677,697,1339,50,49,0.225,0.129698549,0.249162635,0.018422032,0.505050505,csv
224GeorgeG HendrickHendrickRF224???,7129,567,1013,59,47,0.278,0.073674636,0.131626819,0.013773389,0.556603774,csv
224MikeM NapoliNapoli1B224???,4572,650,1468,39,24,0.246,0.124473382,0.281118345,0.012064343,0.619047619,csv
226VicV WertzWertzOF226???,6099,828,842,9,19,0.277,0.119532265,0.121553342,0.004042154,0.321428571,csv
227MattM StairsStairsRF227???,5204,717,1122,30,24,0.262,0.12109441,0.189495018,0.009120081,0.555555556,csv
